sentence,sentiment,date
It broke after a week.,positive,2025-01-24 06:16:51
It broke after a week.,negative,2024-03-13 11:24:31
"Amazing quality, fast delivery.",positive,2024-03-11 03:55:18
Great value and works perfectly.,negative,2024-01-05 06:29:45
It exceeded my expectations.,negative,2024-05-18 08:22:01
Would buy again.,positive,2024-10-01 21:42:44
Absolutely love it!,positive,2024-09-11 16:57:24
Excellent customer service.,negative,2025-01-31 00:21:17
Absolutely love it!,positive,2024-08-09 23:48:09
It exceeded my expectations.,positive,2024-08-14 12:11:43
Not as described.,positive,2024-03-16 16:08:52
It exceeded my expectations.,positive,2024-08-04 12:16:29
Excellent customer service.,positive,2024-03-03 23:04:18
Very disappointing product.,negative,2025-03-04 20:37:56
Absolutely love it!,positive,2025-04-21 08:48:28
Excellent customer service.,positive,2024-06-09 05:51:23
It broke after a week.,positive,2024-10-04 07:09:44
It exceeded my expectations.,positive,2024-03-12 08:10:02
"Terrible experience, wouldn't recommend.",negative,2024-08-04 02:54:41
It exceeded my expectations.,positive,2024-01-14 03:02:39
Absolutely love it!,positive,2024-11-15 10:47:21
It broke after a week.,positive,2025-01-12 04:54:08
It broke after a week.,positive,2025-02-08 03:40:13
It exceeded my expectations.,positive,2024-04-02 23:32:19
"Terrible experience, wouldn't recommend.",negative,2024-10-28 17:50:09
It exceeded my expectations.,positive,2025-01-02 00:13:10
Very disappointing product.,positive,2025-05-25 03:04:09
Excellent customer service.,negative,2025-03-12 15:15:03
"Amazing quality, fast delivery.",negative,2024-08-20 12:56:12
Absolutely love it!,positive,2024-11-12 23:24:42
"Terrible experience, wouldn't recommend.",positive,2025-03-19 01:50:22
It exceeded my expectations.,negative,2024-12-24 03:22:54
Would buy again.,negative,2024-12-15 12:50:00
It exceeded my expectations.,negative,2024-05-28 12:59:44
It broke after a week.,positive,2024-07-02 12:39:54
Absolutely love it!,negative,2024-06-10 04:05:48
"Terrible experience, wouldn't recommend.",positive,2024-03-30 18:30:53
Great value and works perfectly.,negative,2024-02-09 17:20:59
Excellent customer service.,negative,2025-04-19 16:59:43
Not as described.,positive,2024-07-22 19:19:53
Very disappointing product.,negative,2024-05-19 14:50:48
Great value and works perfectly.,negative,2025-02-28 23:45:46
Not as described.,positive,2024-03-07 05:08:49
"Amazing quality, fast delivery.",negative,2024-08-27 21:10:23
It broke after a week.,negative,2024-03-26 23:45:04
It broke after a week.,negative,2025-05-22 04:08:20
"Amazing quality, fast delivery.",negative,2024-05-24 04:06:53
Very disappointing product.,positive,2024-10-28 09:11:45
"Terrible experience, wouldn't recommend.",negative,2025-02-17 01:02:44
"Amazing quality, fast delivery.",positive,2024-07-13 11:13:40
"Amazing quality, fast delivery.",positive,2024-04-15 04:12:02
Absolutely love it!,negative,2024-08-14 13:38:19
Great value and works perfectly.,positive,2024-01-30 16:50:51
Excellent customer service.,positive,2025-04-21 13:28:41
Excellent customer service.,negative,2025-02-11 16:32:53
Would buy again.,negative,2025-02-22 10:52:02
Would buy again.,negative,2025-01-18 11:20:36
Very disappointing product.,negative,2024-02-10 20:27:49
Absolutely love it!,positive,2025-03-19 08:14:27
Great value and works perfectly.,positive,2024-03-05 00:41:05
Great value and works perfectly.,positive,2024-12-05 22:47:43
Very disappointing product.,positive,2024-12-28 21:31:55
Excellent customer service.,positive,2024-08-30 13:58:51
Not as described.,positive,2025-01-25 08:57:14
Excellent customer service.,positive,2025-03-26 06:19:41
"Amazing quality, fast delivery.",positive,2025-04-17 05:05:34
Great value and works perfectly.,negative,2024-11-15 19:52:38
"Amazing quality, fast delivery.",negative,2025-05-03 18:52:13
"Terrible experience, wouldn't recommend.",negative,2024-04-22 07:15:33
Absolutely love it!,negative,2024-10-07 17:24:06
"Amazing quality, fast delivery.",positive,2024-03-09 16:25:29
Not as described.,negative,2025-01-28 07:09:25
Very disappointing product.,negative,2024-08-13 02:39:44
Absolutely love it!,positive,2024-05-12 22:11:19
It exceeded my expectations.,positive,2024-11-14 13:38:13
"Amazing quality, fast delivery.",positive,2025-02-20 12:59:38
It broke after a week.,positive,2024-01-04 23:01:11
Great value and works perfectly.,positive,2024-02-08 08:00:59
"Terrible experience, wouldn't recommend.",negative,2024-08-15 14:18:22
Very disappointing product.,positive,2025-04-17 10:21:34
Excellent customer service.,negative,2024-02-15 21:55:13
Great value and works perfectly.,negative,2024-01-15 09:29:40
It exceeded my expectations.,negative,2024-04-24 07:23:10
Not as described.,positive,2025-04-10 09:08:02
Would buy again.,negative,2025-02-24 05:12:11
It exceeded my expectations.,negative,2025-04-24 13:44:35
Absolutely love it!,negative,2024-04-24 05:59:56
It broke after a week.,positive,2025-04-01 23:03:16
Excellent customer service.,positive,2024-08-23 06:07:34
Great value and works perfectly.,positive,2025-02-19 03:01:51
Would buy again.,positive,2024-01-12 15:13:11
Excellent customer service.,negative,2024-04-28 09:18:53
It exceeded my expectations.,positive,2024-02-01 21:58:13
It exceeded my expectations.,positive,2024-11-28 00:20:45
Excellent customer service.,positive,2024-08-05 11:09:30
"Amazing quality, fast delivery.",positive,2025-05-24 12:00:13
Would buy again.,negative,2024-03-22 11:21:47
Great value and works perfectly.,positive,2025-02-25 19:47:56
Excellent customer service.,negative,2024-02-29 13:12:50
Not as described.,negative,2024-12-01 20:34:09
